Scale,Query,Dim,Mode,IC_id,EOC,WOC,CPC,FPC,TOC
150,7,4,AP Nexus,13,1863.0,1358.0,3.0,3726.0,3221.0
150,7,4,AP Nexus,14,1.0,0.0,1.0,0.0,1.0
150,7,4,AP Nexus,-1,510327.0,375624.0,105.0,3900445.0,885951.0
150,7,4,GP Nexus,0,3267.0,696.0,11.0,32670.0,3963.0
150,7,4,GP Nexus,1,14003.0,9360.0,22.0,294063.0,23363.0
150,7,4,GP Nexus,2,14463.0,8857.0,21.0,289260.0,23320.0
150,7,4,GP Nexus,3,13674.0,8008.0,20.0,259806.0,21682.0
150,7,4,GP Nexus,4,13510.0,7725.0,18.0,229670.0,21235.0
150,7,4,GP Nexus,5,10751.0,6202.0,13.0,129012.0,16953.0
150,7,4,GP Nexus,6,7360.0,4325.0,9.0,58880.0,11685.0
150,7,4,GP Nexus,7,4770.0,2871.0,9.0,38160.0,7641.0
150,7,4,GP Nexus,8,2873.0,1786.0,6.0,14365.0,4659.0
150,7,4,GP Nexus,9,1561.0,1016.0,5.0,6244.0,2577.0
150,7,4,GP Nexus,10,726.0,507.0,5.0,2904.0,1233.0
150,7,4,GP Nexus,11,260.0,205.0,4.0,780.0,465.0
150,7,4,GP Nexus,12,56.0,55.0,4.0,168.0,111.0
150,7,4,GP Nexus,13,6.0,3.0,2.0,6.0,9.0
150,7,4,GP Nexus,14,1.0,0.0,1.0,0.0,1.0
150,7,4,GP Nexus,-1,87281.0,51616.0,150.0,1355988.0,138897.0
150,7,4,GP AdaNexus,0,573.5384349895825,513.4317790637964,10.0,5161.845914906242,1086.9702140533789
150,7,4,GP AdaNexus,1,1569.95436352108,3744.179650433025,23.0,34538.99599746376,5314.134013954105
150,7,4,GP AdaNexus,2,2622.545177184643,4463.030835806515,18.0,44583.26801213893,7085.576012991158
150,7,4,GP AdaNexus,3,2814.9969948397243,4359.756773113676,18.0,47854.948912275315,7174.7537679534
150,7,4,GP AdaNexus,4,2907.3261736482023,4332.530481382833,18.0,49424.54495201944,7239.856655031035
150,7,4,GP AdaNexus,5,2669.434854360678,3723.992125393241,13.0,32033.218252328137,6393.426979753919
150,7,4,GP AdaNexus,6,2297.2571483269917,2892.3482850947653,10.0,20675.314334942927,5189.605433421757
150,7,4,GP AdaNexus,7,1913.955768797755,2158.547761902079,10.0,17225.601919179793,4072.503530699834
150,7,4,GP AdaNexus,8,1516.8727144692666,1523.2359741601283,6.0,7584.363572346333,3040.108688629395
150,7,4,GP AdaNexus,9,1103.2024270066067,987.1904098923965,5.0,4412.809708026427,2090.392836899003
150,7,4,GP AdaNexus,10,673.5040310652536,551.6084880355801,5.0,2694.0161242610143,1225.1125191008337
150,7,4,GP AdaNexus,11,253.2434647864781,219.87417235328323,4.0,759.7303943594343,473.1176371397613
150,7,4,GP AdaNexus,12,10.539975497418743,24.073127939657798,4.0,31.619926492256226,34.61310343707654
150,7,4,GP AdaNexus,13,159.28002317650572,18.75,2.0,159.28002317650572,178.03002317650572
150,7,4,GP AdaNexus,14,1.0,0.0,1.0,0.0,1.0
150,7,4,GP AdaNexus,-1,21086.65155167019,29512.549864570978,147.0,267139.55804391654,50599.201416241165
1,7,4,AP Nexus,0,5915.0,5428.0,6.0,29575.0,11343.0
1,7,4,AP Nexus,1,34776.0,22561.0,15.0,486864.0,57337.0
1,7,4,AP Nexus,2,45305.0,43996.0,14.0,588965.0,89301.0
1,7,4,AP Nexus,3,75904.0,45657.0,12.0,834944.0,121561.0
1,7,4,AP Nexus,4,70744.0,44875.0,12.0,778184.0,115619.0
1,7,4,AP Nexus,5,61737.0,43424.0,9.0,493896.0,105161.0
1,7,4,AP Nexus,6,51594.0,41020.0,9.0,412752.0,92614.0
1,7,4,AP Nexus,7,42134.0,37615.0,9.0,337072.0,79749.0
1,7,4,AP Nexus,8,34680.0,32295.0,9.0,277440.0,66975.0
1,7,4,AP Nexus,9,25866.0,25817.0,5.0,103464.0,51683.0
1,7,4,AP Nexus,10,17751.0,16707.0,12.0,195261.0,34458.0
1,7,4,AP Nexus,11,8210.0,6913.0,4.0,24630.0,15123.0
1,7,4,AP Nexus,12,1227.0,1155.0,3.0,2454.0,2382.0
1,7,4,AP Nexus,13,1.0,0.0,1.0,0.0,1.0
